Name,City,Country,Domes,Status,EPN Inclusion,Station Log,Station Owner,TectonicPlate,Latitude,Longitude,Elevation,X,Y,Z,IGS,EPOS,ITRF2014,IGS14,ITRF2020,IGS20,Tipo,Carpeta
ACOR00ESP,A Coruna,ESP,13434M001,included,1999-09-05,acor00esp_20250128.log,IGE,EURASIAN,43.3644,-8.3989,67.0,4594489.94,-678368.07,4357065.9,,included,ITRF2014,,ITRF2020,,S,EUREF
AJAC00FRA,Ajaccio,FRA,10077M005,included,2000-02-20,ajac00fra_20240717.log,IGN_RGP,EURASIAN,41.9275,8.7626,98.8,4696990.0,723994.0,4239678.0,included,included,ITRF2014,IGS14,ITRF2020,IGS20,S,IGS
ALAC00ESP,Alicante,ESP,13433M001,included,1999-09-05,alac00esp_20240315.log,IGE,EURASIAN,38.3389,-0.4812,60.3,5009051.41,-42072.47,3935057.48,included,included,ITRF2014,,ITRF2020,,S,IGS
ALBA00ESP,Albacete,ESP,13452M001,included,2007-09-09,alba00esp_20240315.log,IGE,EURASIAN,38.9779,-1.8564,751.6,4962848.13,-160854.39,3990884.14,,included,,,,,S,EUREF
ALME00ESP,Almeria,ESP,13437M001,included,2001-01-21,alme00esp_20230913.log,IGE,EURASIAN,36.8525,-2.4595,127.5,5105220.29,-219278.78,3804386.86,,included,ITRF2014,,ITRF2020,,S,EUREF
AUBG00DEU,Augsburg,DEU,10913M001,included,2016-08-14,aubg00deu_20250429.log,BKG,EURASIAN,48.4213,10.9213,508.6,4164312.9,803525.9,4748474.9,,included,,,,,S,EUREF
BAUT00DEU,Bautzen,DEU,14102M001,included,2019-05-05,baut00deu_20250429.log,BKG,EURASIAN,51.1923,14.5217,211.8,3877545.5,1004370.9,4947148.1,included,included,,,,,S,IGS
BCLN00ESP,Sant Vicenc dels Horts,ESP,13412M001,included,2015-08-02,bcln00esp_20230720.log,IGE,EURASIAN,41.4054,2.0042,84.7,4788065.0,167551.0,4196355.0,,included,,,,,S,EUREF
BELL00ESP,Bellmunt de Segarra,ESP,13431M001,included,1999-01-31,bell00esp_20240909.log,ICGC,EURASIAN,41.5996,1.4011,852.5,4775849.0,116814.0,4213018.0,,included,ITRF2014,,ITRF2020,,S,EUREF
BORJ00DEU,Borkum (Island of Borkum),DEU,14268M002,included,2006-12-24,borj00deu_20250429.log,BKG,EURASIAN,53.5789,6.6664,53.0,3769402.8,440564.5,5109099.2,,included,ITRF2014,,ITRF2020,,S,EUREF
BRMF00FRA,Bron,FRA,19686M002,included,2015-07-26,brmf00fra_20240716.log,IGN_RGP,EURASIAN,45.7261,4.9384,256.7,4443793.0,383967.2,4544228.6,,included,,,,,S,EUREF
BRMG00DEU,Bremgarten,DEU,10918M001,included,2020-05-24,brmg00deu_20250429.log,BKG,EURASIAN,47.9077,7.6329,261.6,4245557.1,568958.1,4710200.0,included,included,,,,,S,IGS
BRST00FRA,Brest,FRA,10004M004,included,1998-12-06,brst00fra_20240702.log,IGN_RGP,EURASIAN,48.3805,-4.4966,65.5,4231162.0,-332747.0,4745131.0,included,included,ITRF2014,IGS14,ITRF2020,IGS20,S,IGS
BRUX00BEL,Brussels,BEL,13101M010,included,2012-03-11,brux00bel_20230124.log,ROB,EURASIAN,50.7981,4.3586,158.3,4027881.63,306998.54,4919498.98,included,included,ITRF2014,IGS14,ITRF2020,IGS20,S,IGS
BSCN00FRA,Besançon,FRA,10028M007,included,2005-12-18,bscn00fra_20240716.log,IGN_RGP,EURASIAN,47.2469,5.9894,358.6,4314139.0,452626.0,4660703.0,,included,,,,,S,EUREF
BUCU00ROU,Bucuresti,ROU,11401M001,included,1999-02-21,bucu00rou_20250613.log,TUCEB,EURASIAN,44.4639,26.1257,143.2,4093760.99,2007793.67,4445129.86,included,included,ITRF2014,IGS14,ITRF2020,IGS20,S,IGS
BUTE00HUN,Budapest,HUN,11209M001,included,2004-10-31,bute00hun_20240723.log,BMEDGS,EURASIAN,47.4809,19.0565,180.9,4081882.42,1410011.13,4678199.42,,included,,,,,S,EUREF
CACE00ESP,Caceres,ESP,13447M001,included,2001-08-19,cace00esp_20250319.log,IGE,EURASIAN,39.4789,-6.3418,437.9,4899866.0,-544567.0,4033773.0,included,included,,,ITRF2020,,S,IGS
CANT00ESP,Santander,ESP,13438M001,included,2001-01-21,cant00esp_20250509.log,IGE,EURASIAN,43.472,-3.7981,99.3,4625924.68,-307096.78,4365771.15,included,included,ITRF2014,,ITRF2020,,S,IGS
CARG00ESP,Cartagena,ESP,19412M001,included,2015-09-27,carg00esp_20241021.log,IGE,EURASIAN,37.5966,-0.9739,57.3,5059185.52,-85999.15,3870099.23,,included,,,,,S,EUREF
CASC00PRT,Cascais,PRT,13909S001,included,1998-09-20,casc00prt_20250414.log,DGT,EURASIAN,38.6934,-9.4185,77.1,4917537.87,-815726.53,3965857.98,included,included,ITRF2014,,ITRF2020,,S,IGS
CEU100ESP,Ceuta,ESP,13449M002,included,2008-03-09,ceu100esp_20230831.log,IGE,AFRICAN,35.892,-5.3064,52.4,5150907.98,-478415.09,3718518.22,,included,ITRF2014,,ITRF2020,,S,EUREF
CFRM00CZE,Frydek Mistek,CZE,11525M001,included,2010-03-21,cfrm00cze_20250218.log,ZU,EURASIAN,49.6848,18.3532,373.6,3924573.26,1301971.08,4840464.42,,included,,,,,S,EUREF
CLIB00CZE,Liberec,CZE,11526M001,included,2010-03-21,clib00cze_20250218.log,ZU,EURASIAN,50.7717,15.0599,448.4,3903195.49,1050232.28,4917869.73,,included,,,,,S,EUREF
COBA00ESP,Cordoba,ESP,13453M001,included,2005-02-27,coba00esp_20240411.log,IGE,EURASIAN,37.9157,-4.7211,212.8,5021261.4,-414685.5,3898192.7,,included,,,,,S,EUREF
CPAR00CZE,Pardubice,CZE,11527M001,included,2010-03-21,cpar00cze_20250218.log,ZU,EURASIAN,50.0395,15.7832,283.3,3949919.12,1116467.15,4865832.52,,included,,,,,S,EUREF
CRAK00CZE,Rakovnik,CZE,11528M001,included,2010-03-21,crak00cze_20250724.log,ZU,EURASIAN,50.1024,13.7292,381.9,3982251.4,972921.28,4870394.76,,included,,,,,S,EUREF
