Site Name,Country/Region,Receiver,Antenna,Radome,Satellite System,Latitude,Longitude,Height (m),X (m),Y (m),Z (m),Calibration,Networks,Data Center,IERS DOMES,Clock,Agencies,Last Data,Code,Rate 1s,Rate 30s
ABMF00GLP,GP,SEPT POLARX5,TRM57971.00,NONE,GPS+GLO+GAL+BDS+SBAS,16.26230555555555,-61.52753055555555,-25.0,2919786.0,-5383745.0,1774604.0,ROBOT,"IGS14 Core, IGS20, IGS14, IGS, IGS Multi-GNSS, RTS",IGN,97103M001,INTERNAL,Institut National de l'Information Geographique et,1.0,ABMF,SI,SI
ABPO00MDG,MG,SEPT POLARX5,ASH701945G_M,SCIT,GPS+GLO+GAL+BDS+QZSS,-19.01830602777778,47.22921169444445,1552.9923,4097216.6805,4429119.0287,-2065771.3676,FIELD,"IGS14 Core, IGS20, IGS14, IGS, RTS, IGS Multi-GNSS",JPL,33302M001,INTERNAL,Jet Propulsion Laboratory,9.0,ABPO,SI,SI
AC2300USA,US,SEPT POLARX5,TRM59800.99,SCIT,GPS+GLO+GAL+BDS+QZSS,60.47509444444443,-150.8779277777778,80.301,-2752834.7418,-1533597.398,5526823.2554,ROBOT,"RTS, IGS, IGS Multi-GNSS",CDDIS,49296M001,INTERNAL,EarthScope Consortium,1.0,AC23,NO,SI
AC2400USA,US,SEPT POLARX5,TRM159800.00,SCIT,GPS+GLO+GAL+BDS+QZSS,58.68157222222222,-156.6527555555555,36.4,-3051338.7572,-1317097.8223,5425614.2192,ROBOT,"RTS, IGS, IGS Multi-GNSS",CDDIS,49239M001,INTERNAL,EarthScope Consortium,1.0,AC24,NO,SI
ACRG00GHA,GH,JAVAD TRE_3S,SEPCHOKE_B3E6,NONE,GPS+GLO+GAL+BDS+IRNSS+SBAS,5.641472222222221,-0.207111111111111,83.4,6347491.377,-22944.8986,622822.4766,ROBOT,"IGS, IGS Multi-GNSS, RTS",CDDIS,32904M001,INTERNAL,GeoForschungsZentrum,1.0,ACRG,SI,SI
ACSO00USA,US,SEPT POLARX5,TRM59800.80,SCIT,GPS+GLO+GAL+BDS,40.23235277777778,-82.98152499999999,249.387,595828.9368,-4839735.3204,4097876.7222,COPIED,"RTS, IGS, IGS Multi-GNSS",CDDIS,49297M001,INTERNAL,EarthScope Consortium,1.0,ACSO,NO,SI
ADIS00ETH,ET,LEICA GR50,LEIAR20,LEIM,GPS+GLO+GAL+BDS+SBAS,9.035135727777778,38.76630398055556,2439.149,4913652.76087,3945922.66962,995383.33311,ROBOT,"IGS20, IGS14, IGS Multi-GNSS, RTS, IGS",IGN,31502M001,,Addis Ababa University,1.0,ADIS,NO,SI
AGGO00ARG,AR,SEPT POLARX5TR,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+SBAS,-34.873708333333326,-58.1398611111111,42.085,2765120.9,-4449250.25,-3626405.6,ROBOT,"IGS, IGS Multi-GNSS, RTS",BKG,41596M001,EXTERNAL CESIUM,"Bundesamt fuer Kartographie und Geodaesie, Argentinean-German Geodetic Observatory",31.0,AGGO,NO,SI
AIRA00JPN,JP,TRIMBLE ALLOY,TRM59800.00,SCIS,GPS+GLO+GAL+QZSS,31.82406111111111,130.59959166666667,314.64,-3530185.489,4118797.337,3344036.931,ROBOT,"IGS08, IGS20, IGS, IGS Multi-GNSS, RTS",CDDIS,21742S001,INTERNAL,Geospatial Information Authority of Japan,1.0,AIRA,SI,SI
AJAC00FRA,FR,LEICA GR50,TRM115000.00,NONE,GPS+GLO+GAL+BDS+QZSS+SBAS,41.92745,8.762608333333334,98.8,4696990.0,723994.0,4239678.0,ROBOT,"IGS20, IGS14, IGS, RTS, IGS Multi-GNSS",BKG,10077M005,INTERNAL,Institut National de l'Information Geographique et,1.0,AJAC,SI,SI
